,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14
1.0,64.95504538367935,66.71503772834289,66.98484562114658,65.17131485005639,64.04203438095249,63.17857036524334,62.89218629295521,62.125970311488246,62.28163316146036,64.23181917921997,66.80879368995056,67.19769684843088,65.00587283184132,63.481685297591255,62.941294286635745,62.579553566091526,62.29656102719707,61.95904470868373,61.62747929621714,61.23459650304586,61.098781887083256,60.9136729432325,60.817358153491966,60.59273648317245,60.66637944803319,60.53909144004604,60.24449827867637,60.23141385964541,59.86925542413389,59.66184341674696
2.0,64.95504538367935,66.71503772834289,66.98484562114658,65.17131485005639,64.04203438095249,63.17857036524334,62.89218629295521,62.125970311488246,62.28163316146036,64.23181917921997,66.80879368995056,67.19769684843088,65.00587283184132,63.481685297591255,62.941294286635745,62.579553566091526,62.29656102719707,61.95904470868373,61.62747929621714,61.23459650304586,61.098781887083256,60.9136729432325,60.817358153491966,60.59273648317245,60.66637944803319,60.53909144004604,60.24449827867637,60.23141385964541,59.86925542413389,59.66184341674696
6.0,448.8851509943285,459.68128671055877,466.2454273499125,466.6100051184612,461.6231355707293,457.2557388857452,450.40279038026216,446.4730871432041,446.3522531091993,456.38797915533326,491.15285312766684,501.3288134986793,496.5710802741497,481.02971905118596,462.8994573318074,449.91278642973566,440.5728146183493,436.5078837846932,433.53816030324526,430.8599262010175,429.0373844884962,429.84805576068845,434.9777887268983,446.2374095959582,456.64268897173605,459.6670319650967,455.621760676336,450.4233490203573,447.25160916679397,444.49172174912684
7.0,528.7274354995836,532.2863761914377,541.2658622163243,546.2581990956093,544.7736059328788,538.9094518645253,534.2191798715112,529.4411804448064,530.1784753076332,553.6274381990844,558.5251824168427,581.8266324003711,585.691191445052,577.5565299541453,559.3234919107839,539.4418321288241,525.1925604612017,515.6576105712136,511.233846154773,506.83865317770164,503.5906759959888,500.37480528464334,500.5170118221155,504.9920558959912,514.7205333665398,523.721990505079,525.171785012665,519.7727177022915,514.2655398621916,509.32369928500844
8.0,548.0546520787989,550.390979409657,557.4109384542487,563.2630810711529,563.2923169748329,558.4971280934626,553.4138636787413,549.1121776954105,549.2812208762988,571.4474719337359,580.3325198818927,595.8572486760779,604.0780168897521,598.767525647418,582.8835845165372,563.0291463539837,546.8106609979113,535.8049841003676,529.7971186643441,525.0618350693077,521.3395462969869,517.7674543815615,516.7344311894685,519.7357076999808,527.5868078009456,536.5473241006353,539.9043065931165,536.2014974012683,530.6351108353387,525.1159353211883
9.0,556.1814784048456,557.825331826307,563.712899260494,569.6829109955285,570.7699660385972,566.8936283808057,561.8494375712756,557.5714301722983,557.239571782943,577.0333572715709,588.0963011343978,601.2409463928352,610.4401107070569,607.6690722344365,593.7412036814687,574.5262449297476,557.4151933414782,545.2839078586741,538.1962088367562,533.0585251497513,529.0673860030356,525.3204761170443,523.6774635023978,525.7513547225818,532.449264165881,541.0739672208975,545.4761262661013,543.1194201484693,537.9037308838411,532.2040528779241
10.0,579.5016790227563,579.8035037217062,583.474706835374,589.0515091392201,591.7288377521568,589.6738459655418,585.0563428724257,580.9927108494772,580.2483330092738,597.9803075884715,610.99584645717,620.4211128185207,629.7098935696722,631.1265884652823,621.141478649496,603.5924222170075,585.2182750158961,570.8987674675951,561.5990697795122,555.2561095881017,550.6218433276022,546.3625246733249,543.6110902094651,543.8876232451713,548.2502610252902,555.7726183642105,561.5844676538018,561.6872123934075,557.5553371497099,551.5690242813893
11.0,631.5236405277001,630.2595378657447,631.2453281393683,635.0679982558073,638.2029559933857,637.9631640493112,634.4931196618761,631.3441273141798,631.6905412149049,654.3056117119534,665.916176159635,670.7680276816111,676.654208422392,680.2208709152288,674.3603362077469,659.3940109092696,640.5694231268752,623.969552160352,611.9131923507391,603.214803931211,597.3568504037097,591.9930801545447,587.9700964419309,586.1774117641781,587.5845952030006,592.8582727601328,598.7444856724667,600.9051721924983,598.6507170365063,592.5012514006298
12.0,744.6503960069922,742.2528206975512,740.8184819712415,741.2070068491322,743.0522342410823,742.9615529186307,740.6532521862531,738.5504507764982,743.1687772652757,770.3248103772037,787.1519525319358,788.6162260612783,787.5232961679271,787.7528796240027,782.8532243542967,769.8615130726033,750.9602226327299,732.4913916636792,717.618939364162,705.8595836890124,697.8776412657044,690.6255515932369,684.7255744922415,680.3988242342683,679.4586630269937,682.1441505462933,686.9637967056228,689.368182300927,687.8530847046602,681.5907572583825
14.0,27.808377956789986,28.13561779012364,27.246133599999915,27.33554229876534,27.086083083950538,27.812862695061785,27.14221420740755,26.97125153456791,26.58462410987649,26.055894203703705,26.410512433333217,26.529892291358053,26.004312902469174,26.400867143209943,25.68969027407413,26.173091479012342,26.04328835061723,26.258008628395014,25.772493708641854,26.38148650493837,25.60800310493832,26.542027420987683,29.884536304938266,37.94223589135797,41.03329595925931,39.06690169382712,32.11003431851854,30.664491017283893,26.98074092592588,27.037925879629523
