posto,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
16,86.03790634502154,84.24273573014524,82.8083705519046,81.92780633594766,81.64708800425012,105.62564175832358,119.0688086771386,110.40596555003742,99.77219458813907,90.21989156644123,84.50559248619423,81.05703203421876,77.65154532897218,75.07877223955889,72.22428788838613,71.07399635342286,69.12531341285168,67.47073733655552,66.2108308436483,65.83231829897227,65.09043005668819,65.16010742778674,65.30105213797508,64.15927658591032,63.053020695339626,62.49059064595696,62.00165796848775,62.694881803364204,60.55771047089512,61.93263697854946
17,2530.3199390486593,2532.206696097255,2462.611085167173,2340.529467795849,2200.1896169775778,2090.2763308577314,2046.8552419184584,2054.2392597833964,2059.155237616583,2051.1301215965673,2053.754379684134,2058.853122410379,2049.194002718158,2004.9892672545807,1922.6687883729066,1824.3256264075603,1735.3697706970452,1662.0666801562288,1604.0111957017134,1561.5806019323663,1531.7761122588568,1519.8061537468216,1526.4310988736743,1529.399205643358,1518.9027562502054,1503.5623669532138,1491.3759146719867,1477.464562110489,1456.4492657753585,1426.2757436859201
18,2813.975110797274,2833.1440004380556,2820.479300034035,2744.5319185283565,2619.793078669483,2476.4070208277335,2359.5600864448943,2304.8055504657004,2301.1058642776243,2301.42343403428,2290.0205204129047,2284.9141505301054,2285.4791527021825,2271.9531608542393,2226.5366943923145,2146.971089986988,2048.1514091336785,1952.265568719144,1872.0550235589094,1807.241834250521,1763.7903869406318,1757.2211243748093,1754.1467382445821,1761.8808236506925,1765.304420556656,1757.5133226841083,1737.191025055844,1714.7337865579975,1694.2825614960655,1665.1007834435445
22,161.93191036597645,197.25848107687406,246.9051110551942,283.3169911310026,277.21821568239113,251.74405069946363,241.441784640947,227.4374567360302,206.5584195079633,191.19544299266695,179.526393829027,164.04083717255938,150.62353451043143,151.49840360973923,159.4435787287049,180.27849190519103,192.99929136054612,178.80907942457364,161.97698208710278,162.10826536809893,163.21717927244808,158.17451116353138,164.5884557498755,192.6943465673237,189.29151447216492,172.24420466521138,159.94083848682803,152.09806936626543,167.7636070957391,191.66844273771082
23,290.2860170956999,398.80393307187177,509.8806807219579,537.271524309147,500.3344820739913,437.71324737939415,376.99794194246044,336.7971855800673,312.49735273207125,293.5977878936601,276.4861896445806,256.48022440256364,236.17216944789539,222.52361686427219,216.23455222393403,214.4270001679373,220.0435622685943,218.70582230639945,202.66422401621895,191.34632986503615,193.5698155153884,203.95356074084933,223.0846897472511,240.1753784366291,249.6574563786104,264.0963080590321,286.00110976041833,301.92901407503786,333.6227774854983,377.5492847245057
24,686.1180261294047,706.4452815775949,746.4851480670741,798.2915404657151,830.7620283374663,814.493320259669,761.8808277896078,724.136787980797,692.5191447916286,660.7746558846557,639.5351933731902,617.8324962097201,586.9940868814326,561.4153652376542,559.2851572739396,579.4570910208367,598.8593071720395,602.7967572176699,587.5783644518954,561.8821287876067,550.9732656094734,549.3771982457388,558.6806541518315,577.8013856704554,600.3106046659003,598.2685056219226,578.099526111075,559.0186810453229,551.2241781397772,571.075210743952
25,461.74330548724674,454.00946449366074,441.53861642368986,421.5586352932038,407.4587841288143,396.9082898877996,394.9013737456351,432.4235204894186,454.4063780040173,455.0073716623614,441.47021120145314,433.1172934850869,408.1949772047444,384.1913700218403,375.0585849154941,370.99362182391536,353.6669765178719,343.9395510178364,337.36337472056476,329.75146087133186,318.2263163173577,311.5816295210276,307.4738366183393,304.138819492028,299.58337295783014,290.716685771158,282.8912301968385,277.2252319994275,270.5524039677376,264.9632450652085
28,494.1391660631535,485.06567690589264,472.7312114716703,458.79473013877515,442.4547605786914,427.4730711096154,417.0722075273674,419.9622234779402,440.01435685184805,460.29722606956096,465.22350718178023,457.94713682109335,444.5586597562424,424.9041961105791,404.48532072969505,391.3593269940047,381.76756246326454,369.73501691236874,358.19269539494667,349.5388555395731,341.2424621139657,332.61985802451596,325.9413970232905,321.44144023035136,317.39056299145534,312.13562545791467,305.556366612456,299.1249996339285,293.2353180195392,287.05092122907735
31,2220.8970857392655,2260.2729414265145,2342.2648128686537,2497.4625536420913,2592.3314163857012,2582.168538768287,2461.008187203793,2297.628562574937,2173.891633208771,2101.387118362649,2043.4484071498127,1978.3378331374422,1900.8502176673742,1821.03705623666,1760.3664930013883,1738.6784064910457,1729.8415188797612,1722.1881881490647,1707.6011936218333,1659.0617678356482,1603.1394521309899,1584.8703166180019,1606.7832349783396,1646.8648148517802,1689.1348507917871,1726.6378668170673,1753.398133939675,1762.6393391451688,1756.9909121089954,1788.6438283906537
32,2289.7707374172887,2323.628572516751,2388.24777943295,2517.1593861207316,2631.6221384756936,2659.4713032632985,2578.541581865995,2431.025670763713,2294.5033594008005,2200.1843324256665,2134.700639870408,2069.4458341238483,1992.607406613326,1910.7884401935291,1841.6312929768708,1805.4319911386972,1790.8720678348848,1781.379551656481,1768.0831010633503,1729.8080525319021,1677.5204332927292,1648.8516461214874,1658.7159426603332,1692.6623522539173,1732.5866386088107,1772.1602997908433,1802.5647169846432,1817.4198608560841,1816.218982666294,1833.9344763475117
33,3659.018321250423,3608.312958672982,3620.482264655617,3689.142599049547,3805.086761835206,3914.2709744699764,3936.409785225858,3835.147349588839,3733.912910388641,3582.188142390216,3460.652474008271,3354.8872701347573,3277.8540093081297,3195.1218897403287,3091.531649474875,3006.4727758500558,2950.746263227427,2915.8274712348334,2890.5717975995717,2850.356667236423,2806.258055919449,2775.560469920465,2772.9459255863567,2793.3123129579935,2814.331913329511,2853.395112064083,2885.0471993132687,2902.775299212798,2902.50757552526,2892.385774548574
34,7482.446972677356,7479.619659948827,7432.9741567759775,7372.629007856047,7297.889513295421,7236.1683834670275,7176.461105218605,7083.405419600432,6945.100038424797,6823.512519704621,6670.930830680126,6525.856478142676,6404.501035629346,6308.383943910669,6197.361501115435,6040.27732176443,5863.276525855588,5697.722483672264,5559.869189831878,5448.75830759092,5349.655288410479,5278.034323613978,5253.522259869578,5257.944701612716,5280.098379353204,5296.742427662016,5323.421320711656,5349.485645438579,5357.441718562987,5330.992004965722
47,241.9093630918064,192.93173257262012,160.5679184866409,135.81710196617183,118.41072638583378,107.02719625929099,101.85020683705089,101.69574899118102,97.82278007324295,93.69442699629695,91.28954541636753,83.36605732078964,79.64738800853152,76.25394479056975,76.49647929421882,83.05166373856945,88.12654221681743,90.87866073402772,87.41463408360868,81.49718048014397,78.07314908764093,74.3926362437091,72.56166550220824,72.52865626807998,71.72366000135784,73.71784757429684,73.50010206372393,72.64157053657655,71.0945554792673,70.01063720452683
