data_arquivo,data_dado,posto,ena
2020-09-11,2020-08-29,7.0,106.25322290900444
2020-09-11,2020-08-30,7.0,102.73130010661257
2020-09-11,2020-08-31,7.0,98.76964592346954
2020-09-11,2020-09-01,7.0,96.7733729906019
2020-09-11,2020-09-02,7.0,95.20832719971148
2020-09-11,2020-09-03,7.0,93.72331770143022
2020-09-11,2020-09-04,7.0,92.00921681949852
2020-09-11,2020-09-05,7.0,89.49696090019516
2020-09-11,2020-09-06,7.0,87.95719481481196
2020-09-11,2020-09-07,7.0,86.75646675323902
2020-09-11,2020-09-08,7.0,85.25640487145594
2020-09-11,2020-09-09,7.0,83.29338048618202
2020-09-11,2020-09-10,7.0,81.02482110461891
2020-09-11,2020-08-12,8.0,154.26156560239684
2020-09-11,2020-08-13,8.0,152.75910944529932
2020-09-11,2020-08-14,8.0,151.4339934384632
2020-09-11,2020-08-15,8.0,150.3369509746581
2020-09-11,2020-08-16,8.0,150.07199899246575
2020-09-11,2020-08-17,8.0,149.2876446356427
2020-09-11,2020-08-18,8.0,148.3506221771475
2020-09-11,2020-08-19,8.0,147.63629390291072
2020-09-11,2020-08-20,8.0,147.46749654449044
2020-09-11,2020-08-21,8.0,149.28750200932566
2020-09-11,2020-08-22,8.0,152.7916225410811
2020-09-11,2020-08-23,8.0,158.5429797847496
2020-09-11,2020-08-24,8.0,162.93412021986234
2020-09-11,2020-08-25,8.0,166.35044936151962
2020-09-11,2020-08-26,8.0,169.3784873929771
2020-09-11,2020-08-27,8.0,170.67489668700287
2020-09-11,2020-08-28,8.0,168.3530686785433
2020-09-11,2020-08-29,8.0,163.72220703136688
2020-09-11,2020-08-30,8.0,158.4864977143127
2020-09-11,2020-08-31,8.0,152.5925500157342
2020-09-11,2020-09-01,8.0,148.6943308079672
2020-09-11,2020-09-02,8.0,146.1580765493078
2020-09-11,2020-09-03,8.0,143.90933983452592
2020-09-11,2020-09-04,8.0,141.47644001293875
2020-09-11,2020-09-05,8.0,138.08524962429226
2020-09-11,2020-09-06,8.0,135.35001295310258
2020-09-11,2020-09-07,8.0,133.3803520618992
2020-09-11,2020-09-08,8.0,131.09289628474704
2020-09-11,2020-09-09,8.0,128.19448890089586
2020-09-11,2020-09-10,8.0,124.8396745778943
2020-09-11,2020-08-12,9.0,112.99221481896512
2020-09-11,2020-08-13,9.0,111.93533349561285
2020-09-11,2020-08-14,9.0,110.94623548954479
2020-09-11,2020-08-15,9.0,110.1144973364757
2020-09-11,2020-08-16,9.0,109.79217631387863
2020-09-11,2020-08-17,9.0,109.2579174828002
2020-09-11,2020-08-18,9.0,108.58037922864874
2020-09-11,2020-08-19,9.0,108.02297769920999
2020-09-11,2020-08-20,9.0,107.81397074182682
2020-09-11,2020-08-21,9.0,108.85019114498623
2020-09-11,2020-08-22,9.0,111.11845048095171
2020-09-11,2020-08-23,9.0,115.00948512428312
2020-09-11,2020-08-24,9.0,118.35825983231872
2020-09-11,2020-08-25,9.0,120.9236643850688
2020-09-11,2020-08-26,9.0,123.19639389350657
2020-09-11,2020-08-27,9.0,124.35271671225179
2020-09-11,2020-08-28,9.0,123.19629973536892
2020-09-11,2020-08-29,9.0,120.18379213733317
2020-09-11,2020-08-30,9.0,116.47454624760496
2020-09-11,2020-08-31,9.0,112.25999565532076
2020-09-11,2020-09-01,9.0,109.12219606708179
2020-09-11,2020-09-02,9.0,107.07958175406937
2020-09-11,2020-09-03,9.0,105.41091092236222
2020-09-11,2020-09-04,9.0,103.68685201973769
2020-09-11,2020-09-05,9.0,101.3817840535285
2020-09-11,2020-09-06,9.0,99.30107912661377
