posto,2019-09-25 00:00:00,2019-09-26 00:00:00,2019-09-27 00:00:00,2019-09-28 00:00:00,2019-09-29 00:00:00,2019-09-30 00:00:00,2019-10-01 00:00:00,2019-10-02 00:00:00,2019-10-03 00:00:00,2019-10-04 00:00:00,2019-10-05 00:00:00,2019-10-06 00:00:00,2019-10-07 00:00:00,2019-10-08 00:00:00,2019-10-09 00:00:00,2019-10-10 00:00:00,2019-10-11 00:00:00,2019-10-12 00:00:00,2019-10-13 00:00:00,2019-10-14 00:00:00,2019-10-15 00:00:00,2019-10-16 00:00:00,2019-10-17 00:00:00,2019-10-18 00:00:00,2019-10-19 00:00:00,2019-10-20 00:00:00,2019-10-21 00:00:00,2019-10-22 00:00:00,2019-10-23 00:00:00,2019-10-24 00:00:00,prod,nome,ree,sub_mer,bacia,tipo
1,31.39516751123667,36.00680453386014,42.44099147727013,49.218889528022586,49.495533320529624,46.095141795072976,42.377340815234795,39.64777482593812,36.40123734726308,33.77792718826278,32.30836472420477,31.532956687410998,31.437224185970795,36.75603180644363,49.946244523835375,56.112404150880536,49.66892934109407,47.051383127138614,41.96637647650646,36.88891181360153,34.07379597044086,32.56907320899112,32.02094987331394,31.647428259962464,31.35167223338192,30.95562741458518,30.652281191745722,30.26794448680307,29.951865582851287,29.348714156375404,0.1971,CAMARGOS,10.0,SE,GRANDE,0.0
211,64.66105817657645,69.46705877201009,98.2344926797509,121.18990966410774,126.64303687509386,121.46053624027911,107.30292661168825,97.17717361931835,86.662822674675,77.85250647707377,73.08767792219983,69.9309520929653,67.814171413305,69.64219604546787,87.34142867456734,107.10709016850532,117.79874063050474,112.21539387391255,102.81092774263166,90.54402866823867,82.00928768200609,76.40230590421388,71.39260725821858,68.6922972232342,66.75136804524227,65.03273438113058,66.5553389660282,66.74337420978581,67.03200665450908,67.3848018475998,0.3457,FUNIL-GRANDE,10.0,SE,GRANDE,0.0
6,157.16936160921256,173.26658601253982,208.22217588239772,272.40827007739256,319.26147547515603,317.2085035015576,288.4732016317297,252.0458661720494,223.3138837105349,204.0076320271903,186.86651051366675,175.6900403819863,167.90049591684487,163.08939525200947,163.6901007659883,182.56151935208507,234.9016845906119,296.0253712105461,299.3094868680858,261.7124965041605,224.46818567865154,196.11397662724204,178.50802211795877,166.07619032463177,156.73100446352407,150.38842997709594,146.86753695730312,145.69466903444845,146.79379000049065,147.87422106629938,0.7726,FURNAS,10.0,SE,GRANDE,0.0
14,26.603511320987685,34.989434567901206,41.0671479382716,39.1520072839506,33.41055090123462,31.04545311111111,27.36259451851849,26.18335658024686,23.755286283950603,23.452312925925895,21.812326024691334,21.912214753086488,21.53627169135809,23.137851493827206,22.647315271604846,24.511009333333313,26.249833024691405,23.384943469135845,22.19181843209879,19.599040333333328,19.889978458024768,18.909834595061767,18.885892782716038,18.798774130864118,19.288170627160444,18.747386567901216,18.871836162962975,18.725195967901243,18.188271538271618,18.699970261111154,0.8146,CACONDE,10.0,SE,GRANDE,0.0
17,463.6182926181766,497.0054441492688,553.4063700085384,627.5591608154987,679.8633634525474,707.6476531652081,723.6394922606789,720.655651379577,693.4787877827329,648.0239592245878,596.9606478112746,556.6500452698399,528.2588370809194,514.4171843581997,509.5307619514734,509.66949473550335,515.623707394168,526.7927840655973,547.1774863384892,574.5470466283812,597.2158605968955,603.2947080438109,579.0329764390924,537.832611633714,498.2898111642047,466.75293231614,445.33399510457366,434.9407918506746,438.0355751964993,447.2475151359042,0.4939,MARIMBONDO,10.0,SE,GRANDE,0.0
18,570.4834567842111,576.5246969535358,614.400974842024,708.1168492078626,820.31397105471,867.3667390380031,879.0619948332303,888.6336875020119,879.2424354482876,844.5022345489585,795.4327745647478,734.4748419487468,687.7382367021703,652.1612145827214,631.5612148803286,624.1357167813908,624.7051091811286,631.4133154327556,641.6570534566546,659.3230471716217,684.1125095907751,705.179601027234,707.1655395679443,680.6981813176376,640.0271561822382,598.8855417562463,566.2706387973512,555.1088813394796,578.01366628428,615.3045838311293,0.471,AGUA VERMELHA,10.0,SE,GRANDE,0.0
24,81.1990412391738,81.82035474332827,82.66963677261317,90.10413453831373,93.28534216634901,90.60376567588659,87.60388307726365,85.31375405633085,85.60785344714141,82.75097172078647,81.08578218226202,81.70987428106265,79.55550801264599,85.72239373918963,89.09283256784111,98.71363275343721,94.91302326596033,90.88812053058598,86.55459851479031,83.53368130253985,81.07104715310678,78.10943499261468,77.28505577241742,75.99129824197338,75.2381288408572,73.4208858400219,74.86034111502948,75.43095986179338,75.90539450210917,74.8443607321816,1.1027,EMBORCACAO,10.0,SE,PARANAÍBA,0.0
25,81.72510089947718,100.21984877875215,124.7998192355225,141.71508202360425,136.46614881509785,111.5275649160197,98.66241861104838,91.22932307501928,86.3583025915011,81.78626554293106,77.66849301468716,72.4852804010069,74.7418119438815,78.92203288469884,79.77719336867092,81.85533066660119,83.86058071925417,100.21712089403582,111.62338748385397,85.24438164616083,75.45919887630794,70.6791211322124,67.60044720405881,65.11648021289534,63.22732261746329,61.24302270961311,60.007706232102905,61.51996374242876,67.11797423001036,70.13934691395025,1.0025,NOVA PONTE,10.0,SE,PARANAÍBA,0.0
205,20.17053449431395,20.148030851517944,19.648013555308886,20.213040124748137,20.475794253191722,20.738706488414564,20.41824377811567,20.076714652878486,20.551766470567742,20.049577995230226,20.2973061250529,20.749846995665134,20.394406963537033,20.900932275449392,21.03366908627936,21.684176835973528,21.78443875795812,20.929168523527853,20.58594125172581,19.652627558409755,19.53994169962279,19.484842915843696,18.808082419796406,17.845020394809186,17.645388678131518,17.629405635957315,17.060466634539782,16.393896251740372,17.273916455604958,21.11574600172004,0.6226,CORUMBA IV,10.0,SE,PARANAÍBA,0.0
209,64.82527030475156,65.29932819694659,66.58282224711324,67.07514710783394,67.56849833740755,67.27308256490764,66.1562533210027,66.16036416905258,66.19888015351022,65.65396009161184,65.05543814978722,64.07994862374021,63.4661777599283,65.18316524896176,67.21421209976974,70.46147646344478,76.53177230800362,77.8673458847951,73.96523018719492,70.28015125379737,68.19443373537445,66.41357959709732,65.82964345386542,63.99049394963389,62.06310654858601,61.31279786615046,61.179741893807815,61.198630170682854,60.68156930689094,62.346787371447306,0.6106,CORUMBA I,10.0,SE,PARANAÍBA,0.0
