,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03,2019-11-04,2019-11-05,2019-11-06
1,7.63442312872844,10.43172551819758,11.763810218458202,10.447422181202874,9.930674720399438,8.914511014657446,7.887933904193647,7.365905535665481,7.1042331185227425,7.042399057230221,7.004246179091933,6.986138152496773,6.920103680058949,6.840876288422675,6.710960212816797,6.6019700800549295,6.480643382060443,6.308728020680372,6.728603705772707,7.2050610845910485,6.8663677343755385,7.027095578278591,7.061421987679738,8.05622993492401,9.291887470681784,9.197062895295737,8.704003928377961,8.444717939434616,8.061669477434918,7.810691142788321
6,129.1521325170915,130.0984987173641,145.5603890817052,187.76939422222117,236.99505836447207,240.52628227259504,211.7776705906227,183.0951206860607,161.54359533317583,148.69687455716627,139.6636490679242,133.4320074601147,129.20287682934443,128.08101511912858,128.26333838586712,129.16362669004636,130.28996514852145,132.46090350982962,135.441892415648,140.3589343720492,146.31372667454343,150.15282498332147,162.98409935287097,179.4769388005717,185.40222875575353,183.10032258331,183.93166259947625,185.64196236282683,178.5423668728533,166.98122624435493
7,61.86352042795413,62.31682726557171,69.72303072320815,89.94102945744024,113.51998878155939,115.21143543534914,101.44092858113473,87.70206513873771,77.37894307379365,71.22539874068931,66.8985082845051,63.913568892556654,61.88782681559544,61.350458105728464,61.437790454924304,61.86902610555725,62.40853916567218,63.44841273992263,64.87629832319936,67.23154805532963,70.08387738253471,71.92279503740644,78.06894058380124,85.96896585014963,88.32669205356179,87.23005066476023,87.62610584755124,88.4409025278854,85.05861425251706,79.55082011792464
8,106.38646973607626,107.16601984618553,119.9024408347497,154.6712592851701,195.21990936506552,198.1286839869876,174.44759373279754,150.82092053813415,133.06828529289305,122.48605761760555,115.04511993116645,109.91193058001451,106.42826934197174,105.50415833771753,105.65434345910137,106.3959378297064,107.32373646523634,109.11200324622527,111.56753285949324,115.61784720654025,120.52298751454165,123.68536747746317,134.25487148631663,147.84051603254647,151.6410972271921,149.75836054141453,150.43831629527116,151.8371761387715,146.03039346310533,136.57449823536814
9,77.1145384268304,77.67959756518506,86.91162893326667,112.11390694006502,141.5057125192838,143.61414616609684,126.44883981721327,109.32297783036518,96.45492913777456,88.78437098567242,83.39078591253245,79.66997885451453,77.14483699132879,76.47499247327113,76.5838545902567,77.12140140171698,77.79391890990601,79.09014922699522,80.87004692630163,83.80592892455712,87.36143397805454,89.65369418535282,97.31502955126237,107.16262305645634,109.63328608222211,108.27210752664823,108.7637010659256,109.77504696235917,105.57686666731153,98.74045565722203
10,29.699056100592507,29.916676842316466,33.47220117166509,43.178332903191006,54.497973798444235,55.309993042007406,48.699133317766645,42.10346476687454,37.14760420124301,34.1934487134514,32.116221916295736,30.683230682607604,29.71072496077324,29.452748315560683,29.494674289385344,29.70169923222931,29.96070532384053,30.45992139504932,31.145411870689962,32.27610558875769,33.64543420310131,34.52825041237296,37.47885393642175,41.271449184127064,42.158249479434105,41.63482354573635,41.82386032290447,42.21276203456047,40.598398928582554,37.9695338164746
11,50.7037297219028,51.07526285187428,57.145433701894866,73.71623239305785,93.04169548380123,94.42801578014861,83.14162191119904,71.88116318123234,63.42026752824882,58.37678396088812,54.83043737878333,52.38396231369431,50.723651389809106,50.28322062160163,50.354798763274985,50.70824220983097,51.15043050096389,52.00271741074536,53.17302139906398,55.103398865774636,57.44118588927407,58.9483743439311,63.98579381925506,70.46070412390905,71.65980919711896,70.77009951987294,71.09142072154461,71.7524686255212,69.00840421161139,64.53990813635295
12,47.01431835055253,47.358817205884485,52.987297523809346,68.35233692549103,86.27160004485837,87.5570459894819,77.0918964374697,66.65079487733686,58.80554870034132,54.12904968671456,50.84074982974279,48.57229032631699,47.032790436179326,46.62440721740124,46.69077703985867,47.01850249134792,47.42851534847368,48.21878636644903,49.30393423575784,51.093849519198294,53.26152956880053,54.65904880870989,59.32992497851262,65.33369424803001,66.31688460120762,65.49351129536754,65.79087492624973,66.40263538242533,63.86316723264336,59.72784030554099
14,18.848093826871644,18.448503020249312,19.96666820293332,21.383113981913617,19.049374949958057,18.443491027812357,16.678184683002474,17.647254345425495,16.829564116075602,16.463290421294257,16.007022795890823,16.058914487329304,16.31193318154571,16.413309821682958,16.987398107674586,15.83721303982915,16.119892495684216,15.703048845231365,16.00765468915629,19.213137641589878,20.188832627840736,20.63220839766688,18.289088987246174,18.243299227067425,18.311120793607174,18.932567168038254,15.998458022098987,17.56174593226594,15.609716052242714,18.210146099234873
15,27.84546256226525,27.25512218364489,29.498002134586784,31.590605677012004,28.142827697905794,27.24771765515264,24.639720677482053,26.071387627630404,24.86336293940273,24.32224400455131,23.64817143263788,23.724834259368013,24.09863453021087,24.248404552769088,25.096540922518273,23.39730090702635,23.814920867826395,23.199091788789527,23.649104967902957,28.384764518722573,29.82621947227888,30.481246103253504,27.01960990698379,26.951961843232393,26.83413154747913,27.74483351647109,23.445027312129742,25.735956081637358,22.87534327832711,26.686157632485422
16,7.855948441996166,7.689397659537453,8.322173976927994,8.912553307207423,7.939843086188754,7.687308644354375,6.951523065370076,7.3554345364517895,7.014618518540286,6.861954419544804,6.67178054977071,6.693409180031848,6.798868216626383,6.841122338738487,7.080404253256244,6.60100327643888,6.718825017523534,6.545083192147944,6.6720439249936865,8.008099922874697,8.41477285105022,8.599573352372992,7.6229533582883855,7.603868033351031,7.539344358182969,7.795216091529623,6.587138252654063,7.230799884215561,6.4270792584362955,7.497769459468913
17,254.97601399267043,252.82997735573562,252.63736126229605,255.5435752761809,261.4320141243671,272.3052850337204,286.94250000771234,299.2199133329236,303.3074875620595,292.389513899263,273.0961803239942,254.4912693623589,239.34810931342082,229.13997103922966,224.34623096344959,226.9378770610144,232.44824576861092,235.49730982568784,243.12198735438088,243.21240866883903,240.00385864932258,239.42345443825937,247.17596069445338,259.85852715431656,268.87144814266776,274.7586755028151,281.26602406566747,285.58417830158135,285.3167506597431,286.47872020904896
