posto,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03
237,134.60471842398098,134.5310451315413,136.1891494859841,140.15870388384317,164.22762381550604,201.91569685122283,192.17426781954578,175.74836211363555,158.98954162326635,154.42105157262927,148.14348079939418,140.677398426513,137.5058948728311,135.91355059145087,146.38638132317863,164.40267621635,167.3646411537636,153.36432016371808,141.91883362648335,135.49280974670341,131.30463566663707,135.78659150027894,139.94622221236366,146.24874055792955,169.94980797891688,229.64214349422582,163.7127850713785,161.5756532776726,147.3022103418939,136.44079071892386
238,166.9503832938414,163.90737909720622,165.0159151254404,167.79267064603962,181.93459508579377,212.64496479169244,226.4242049603822,213.2843738026816,196.13531102122943,185.29776268405234,179.3539458082367,172.69112868239733,167.39326823023126,165.85746978213757,170.53817072673726,185.33763350031217,195.439556240611,189.9583561531814,176.4490061839853,167.32235839770857,160.85903062058497,161.36334047236392,164.39436561189706,170.10423702682849,184.18458004899534,226.34534200324393,223.08819108558072,188.60841246340163,180.60128665421308,167.45900992621932
239,227.10832423767897,221.8773877341053,221.51874688727037,223.3900634308303,232.0854508582161,254.1881259433625,276.0595219732555,276.27116866266596,260.0556445246112,245.72777277268995,236.3351091918288,230.43392147834035,224.49385635107444,222.70495251173344,224.7400387874199,235.5477351915963,247.25345040132316,249.63688039380233,238.62850126240224,226.94322953036095,216.92368458913472,214.63184137366773,213.91802515081133,219.20966743698463,227.33192667714133,256.3453206853903,275.53038711817925,255.80280231273815,234.94060829458172,223.25991782952397
240,277.90460949342054,269.3847980527789,263.4199981279241,261.66938206371503,264.3269147175866,270.58313132194877,288.5627564339589,310.5299669725776,315.30037565790883,301.30982967115307,285.2006216521312,275.76934583342137,267.83791511196137,261.53591371258904,260.1242516715736,263.5840006833227,273.4202449884829,285.95249956487766,290.8028658553792,281.4230516858846,268.6623118178517,257.3821828785575,253.43311432575968,252.7979607339104,255.87289388072097,264.3991355387895,288.3817660803367,309.674177313564,296.8363028180205,277.71626992239635
242,298.70735043520506,290.0943817757097,282.6176698353759,278.43560298739203,279.199075630072,283.1044018908797,294.2089494760653,314.0350180178606,328.1386412681618,323.8376852036098,308.3282122498473,295.67030109893574,286.41221833718777,279.0815562328049,275.51120441711464,277.20903065418247,283.9292724050313,295.4012666519331,304.61979184913923,302.48958921954454,291.08003634747354,278.63732851623104,270.6986045466657,268.4292217261637,269.1134131728741,275.07907399289684,290.421712056998,313.19491923037816,318.36389644337726,303.24103258281815
243,319.5346546162095,307.94718124504124,298.3604384290612,289.0237756160232,282.7617574884593,279.95699662425227,282.00774719527396,288.1399020411442,301.676392817863,319.71828176694385,329.6140183472618,321.688064965169,306.8599033668816,295.4908925672287,287.8240217158542,282.6422205487238,281.1202378493977,284.0992222823709,293.331755839773,304.3500533163138,310.5154940171375,304.9148641761297,292.81446161188506,281.0535868571728,275.61355963519094,273.25241161958706,275.6683730921656,284.2108541941074,302.1698392947875,320.813805394739
47,58.57658960344253,57.419984053352664,56.76417889538324,55.59622432103331,55.984955926245725,65.57237325296155,75.88397614876557,75.85724863116572,68.62734684447506,63.296091974397,60.14099403580195,56.907411358886726,54.07620127465093,52.95385350975682,63.85001222912351,63.998661698423376,61.47464938695222,61.142365291684726,64.40375958566905,63.75029176546838,58.00313228083007,56.026581239133264,57.372984021926506,59.615548159889414,59.312542046754984,56.85981407585611,56.858477832122965,56.01565800304603,54.14891076248079,52.64601841458784
48,60.31356293788972,58.85401814832897,58.07257751571081,57.00754006020583,57.09571666183737,64.78501185758869,74.95987787756317,77.12885684694922,71.44266063115792,65.64415645798141,62.053059659142136,59.19032778929659,56.21456036825384,54.69247713600917,62.994441699543074,65.30544734617128,63.28792597062568,62.43843435972836,65.00627598273589,65.23480739089104,60.608040845248425,57.75978862834051,58.37117471376317,60.367017159484114,60.57761852550252,58.52784281765217,58.01299909879885,57.37405577043862,55.71554687550402,54.10793004060914
49,85.98511283736278,84.13716933468285,82.65998253959874,81.59659069745214,81.80644323162497,87.33772021068485,96.77880681543363,102.43237980128225,100.45962111999127,93.38746181192573,89.37701306897073,93.54025047123189,89.38931909441571,86.47093931817017,89.63170718536549,92.04916244241335,90.65456555722871,88.22574262526996,90.74954890573228,93.0423223440055,91.33153867235973,86.24269728578942,84.73847564241979,84.96011289791858,85.3865233276002,83.21046135306361,82.17655048827321,82.11175245638975,80.70632046605715,78.5080333908699
249,87.96930512868079,85.8530603520871,84.29829682280928,83.15403412548797,83.23083739533722,88.14405431957746,97.1028032475257,103.19809610816627,102.10342041848413,95.60807351114121,91.32310317142134,94.65107830572772,91.49571503290205,88.28651143870175,90.84677598965843,93.70237464657602,92.94328138287604,90.71064723534256,92.62213069606622,94.81153830649365,93.39763953253795,88.54437196862858,86.48001149708736,86.44457303712078,86.86022221459451,85.09414749034048,83.92097983071469,83.63754348376904,82.30934515151928,80.07861104271691
