,,,,,,,,,,Carga,PDP_Carga_S,12.070,VER_Carga_S,12.107,,Garabi I,0,VER_CVGarabi 1_imp,0,PDP_CVGarabi 1_imp,0,VER_CVGarabi 1_exp,0,PDP_CVGarabi1_exp (S. Ângelo)
,,,,,,,,,,,,,,,,Garabi II,0,VER_CVGarabi 2_imp,0,PDP_CVGarabi 2_imp,0,VER_CVGarabi 2_exp,0,PDP_CVGarabi2_exp (S. Ângelo)
,,,,,,,,,,,,,,,,Rivera,52,VER_CVRivera_imp,52,PDP_CVRivera_imp,0,VER_CVRivera_exp,0,PDP_CVRivera_exp
,,,,,,,,,,,,,,,,Melo,205,VER_CVMelo_imp,200,PDP_CVMelo_imp,0,VER_CVMelo_exp,0,PDP_CVMelo_exp
,,,,,,,,,,,,,,,,Total,257,soma,252,soma,0,soma,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2 - Balanço de Energia Detalhado,,,,,,,,,,Dados Hidrológicos,,,,,,,,,,,,,,
,,,,,,LEGENDA:,          Verificado,,,,,,,,,,,,,,,,,
,,,,,,,          Programado,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENA Mwmed,,ENA Bruta,ENA Armaz,Valor EAR no dia ,Valor EAR no dia %,,Desvio EAR,,Variação %,,Variação,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Norte,, 3.361 ,,59%,59%, 3.464 ,"23,0",,-49,,"-0,3%",,"-0,3",
,,,,,,,,,,Nordeste,, 1.098 ,,18%,18%, 17.619 ,"34,0",,-56,,"-0,1%",,"-0,1",
,,,,,,,,,,Sul,, 3.697 ,,106%,89%, 7.857 ,"38,2",,"-146,8",,"-0,7%",,"-0,7",
,,,,,,,,,,Sudeste,, 21.947 ,,57%,56%, 38.914 ,"19,1",,-232,,"-0,2%",,"-0,2",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cap. Máx,,Var. Mensal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Norte,, 15.046 ,,"-6,6",,,,,,,,,,
,,,,,,,,,,Nordeste,, 51.831 ,,"-4,6",,,,,,,,,,
,,,,,,,,,,Sul,, 20.581 ,,"-1,3",,,,,,,,,,
,,,,,,,,,,Sudeste,, 203.291 ,,"-3,2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
