,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20
25,72.74786638030452,79.93949455596564,84.52201197436912,82.75020962203156,81.78759440368069,83.45520333198296,86.40605476640494,85.77014598500728,90.33913598857497,99.45513966576316,101.75154025276169,103.43305279273922,104.65010214583805,106.99342084909979,99.09233277314463,95.1542277306786,94.81544622530848,90.8785695361652,91.16778705923966,98.08629831525916,96.71492951742323,84.49414530418336,81.61748994531067,96.11839963845671,97.86877369207531,86.86772835520317,84.50008801119648,86.73087301333109,87.60050213614812,94.46022495008845
28,74.81163579937409,77.35911206884164,82.50700391235479,86.5630407504916,87.30864589186457,87.0523274083154,88.18027360377606,89.86666578825813,91.49173900207428,95.50534959983679,101.66767663526724,106.31302854566204,108.81794085054905,110.58250160215131,110.30580614486071,106.43270330828692,102.28152867966185,99.6515192954492,97.51832552617394,97.84242235961331,100.45297842976379,99.09936807217764,92.82483394476931,91.10424297544814,96.68099807760069,99.05668227189604,94.81866329445177,91.69852521849512,92.39498033540012,95.34793397635201
31,265.83982290225015,272.5023479394787,279.6311992984126,290.74730822418917,303.41383688895763,315.66140194654594,318.69973628125166,316.45185156625047,314.57455449496035,316.0744687056021,330.0749625309324,350.3913935794735,365.0506368296993,371.35931672423243,380.20354746013743,395.0114421315404,403.7445903303184,398.66482090583963,390.0066604358162,383.86569901085664,378.7752024002643,364.86114752602685,346.23813491778725,331.2442012438998,324.35626329564593,326.73842254160104,335.5896088595416,367.952326672356,430.56068134640503,507.56915274635804
32,288.63262911371925,296.0268430083155,304.4044725744354,313.48867689959616,325.53013440338884,338.3937600434873,344.6039897438958,349.50197556797815,345.91107541954455,343.57239843453783,353.0845658769696,371.2406637064982,387.27630262472917,394.7723495465181,402.5151556451765,415.3716468742417,429.48948307718763,430.0413645677065,426.343501678918,420.2346826248121,411.5969439861995,397.7295055212882,378.90722095366823,362.22144961450925,354.6294458872348,355.7052328905113,361.6279654155316,385.6437320964153,438.4215115114562,518.9781821571214
33,536.8699418915337,564.3825385625854,592.2607335419958,599.7682708751651,615.2631250800631,634.0571852305939,645.8674745650852,695.6977881732532,684.62801514851,662.5343165847147,666.038603456268,675.0858219723508,687.6599617557138,682.1624568821571,687.6531103957408,694.5684519795775,737.0717802706752,760.2435541835831,800.6651730091112,810.3147331788648,779.5769131448731,745.066924168721,714.9916755393351,692.1627136646637,695.5254996638652,704.3107784049872,699.4026898553897,705.3565913920182,741.5556805637286,874.268314178493
34,1417.276811104685,1457.7031750795434,1514.9603071600393,1574.2061752281409,1609.8802593873133,1618.938354787351,1617.6124217515937,1609.0236250707374,1640.0520072333302,1643.8446439062118,1657.5551259553124,1692.0964303059152,1733.1434108932074,1778.147969689281,1802.1407493915933,1793.5337311197507,1806.4465016992733,1844.2679233538363,1914.3423820367082,2000.2730019982496,2072.602033045737,2104.680226698883,2105.6089607568133,2089.8327098187697,2049.1892562816106,2026.1791194278067,2051.476698692087,2097.6027402094533,2154.9307155499587,2249.046238362222
47,58.4248188258422,56.94055945006649,57.4213870456307,57.50057875861229,55.049619041244135,53.89997595474564,55.406697840957186,55.375690162420476,53.9595254058301,51.914020857162114,50.955876836688525,49.255521412269495,47.875845972252954,47.72567020862142,46.6900049847933,46.63959267861518,47.399316415820635,61.41192589438521,84.99738163409985,87.0119950810915,79.0888056384004,80.940747519973,111.98127354041505,151.54699873775562,152.50652366402701,149.98814024585042,170.11601837517168,175.71653155356285,147.28814846354342,119.33687003816685
48,59.98677401528707,58.69037465588873,58.82231421864061,59.04884512557544,57.072714894600075,55.635137772260286,56.52448611321413,56.7992313084016,55.62625526598934,53.72189500058158,52.56918898969429,51.02305029202043,49.53440764072235,49.09763920692588,48.18648954030405,47.917618390417616,48.770129886941135,60.26554322459322,81.99501392233259,89.96194467224052,84.25490076531,87.35489409431271,111.24210317887804,147.07455218457588,156.28425148422667,156.50102345317552,170.7025657463293,178.1576564238021,156.12092570264628,127.56641366779198
49,88.25216946675967,89.0070476301704,89.93753065295763,91.40825025405852,89.09462811102074,87.18447094418778,85.95683348424126,86.06515397540882,84.46580729310466,83.03570530518203,82.310546445126,80.86420915740752,78.50373646973988,77.08069899432509,75.05742101642059,74.31844519277503,80.17407711735501,93.20622449913486,114.14640863912119,156.5276955557969,158.9787964163016,227.18151476905396,222.23941520958854,212.9820742594857,234.8228122292316,280.3788594503734,265.34691041473616,250.198475596357,223.67874029585357,187.57327993316963
50,149.14926233760985,149.98350882399868,147.38699586609198,143.22995192324748,136.68590604209592,131.76214728892452,129.35292386625076,129.69229322603348,130.9545816619528,129.6255062553465,126.04117232427488,122.3070593476907,117.21040308447716,112.92797382541245,112.19455928231042,116.98718281189038,124.48293731684772,134.69599273169158,156.2587609103981,196.67045552103718,206.26725651684575,266.0001418485302,282.98148758318746,286.62303604769363,326.8766961134512,377.22750438941165,365.4836495283986,332.5975320032788,292.4698486437556,249.21805191736883
